timestamp,actual_rrp,pred_rrp_xgb,TOTALDEMAND,net_demand_after_pv,pv_rooftop_mw,TOTALINTERMITTENTGENERATION,temperature,wind_speed,abs_error,ape_pct,price_spike_flag,negative_price_flag,date,hour,dayofweek,month,weekend_flag
2025-10-02 06:00:00,5.79165,4.9360695,6665.202499999999,6032.4335,632.769,183.76434749999999,19.0,46.0,6.25832398388187,60.666120324547265,0,0,2025-10-02,6,3,10,0
2025-10-02 07:00:00,0.0,-0.02780284,6103.080000000001,3217.464,2885.616,190.72811833333333,19.0,43.0,0.09364421582237507,,0,0,2025-10-02,7,3,10,0
2025-10-02 08:00:00,0.0,0.04392916,5283.7491666666665,-397.0983333333332,5680.8475,186.76281416666666,17.0,52.0,0.16129991474250951,,0,0,2025-10-02,8,3,10,0
2025-10-02 09:00:00,0.0,-0.059876963,4847.301666666667,-3009.1763333333333,7856.477999999999,107.59024416666666,16.0,37.0,0.07428912383814652,,0,0,2025-10-02,9,3,10,0
2025-10-02 10:00:00,0.0,-0.03528562,4501.3425,-4666.7035000000005,9168.046,107.36719750000002,15.0,32.0,0.08657880484436949,,0,0,2025-10-02,10,3,10,0
2025-10-02 11:00:00,0.0,-0.04054355,4413.5408333333335,-5242.483666666666,9656.0245,106.56135666666667,14.0,30.0,0.04655423694445441,,0,0,2025-10-02,11,3,10,0
2025-10-02 12:00:00,0.0,-0.02242416,4644.473333333333,-4706.804666666666,9351.278,113.47176833333333,14.0,32.0,0.060254647163674235,,0,0,2025-10-02,12,3,10,0
2025-10-02 13:00:00,0.0,0.22256327,5087.075,-3383.7175,8470.7925,117.9587125,15.0,35.0,0.22256326985855898,,0,0,2025-10-02,13,3,10,0
2025-10-02 14:00:00,22.521169999999998,9.743228,5873.989166666666,-1054.6238333333336,6928.613,124.5815075,15.0,28.0,14.137510589055418,52.31393833931477,0,0,2025-10-02,14,3,10,0
2025-10-02 15:00:00,13.575049999999996,10.583283,6597.018333333333,1651.2168333333336,4945.8015,214.88859416666665,15.0,30.0,16.07425559180577,4485434.907297703,0,0,2025-10-02,15,3,10,0
2025-10-02 16:00:00,36.27404833333333,19.401268,7542.974999999999,4503.175,3039.7999999999997,240.29480583333336,15.0,28.0,21.606343208468356,53.3747527733342,0,0,2025-10-02,16,3,10,0
2025-10-02 17:00:00,51.50592,48.56357,8320.244166666667,7159.904166666667,1160.34,236.99984333333336,14.0,22.0,18.40622952135722,25.123250276941725,0,0,2025-10-02,17,3,10,0
2025-10-02 18:00:00,98.72591416666667,96.59449,8832.743333333334,8757.097333333333,75.646,231.37816999999998,14.0,26.0,12.959943271484383,13.240830068619005,0,0,2025-10-02,18,3,10,0
2025-10-02 19:00:00,85.95182416666667,84.75283,8669.5925,8669.5925,0.0,230.01289583333335,14.0,19.0,3.855221027018235,4.4433191000731025,0,0,2025-10-02,19,3,10,0
2025-10-02 20:00:00,79.4415666666667,77.22019,8421.9475,8421.9475,0.0,223.89451499999998,14.0,19.0,3.4825137034098526,4.423221821818429,0,0,2025-10-02,20,3,10,0
2025-10-02 21:00:00,68.61022000000001,68.37593,8069.090833333333,8069.090833333333,0.0,225.77068083333333,16.0,24.0,6.513886144816095,10.786857119388932,0,0,2025-10-02,21,3,10,0
2025-10-02 22:00:00,64.10699166666666,61.594265,7736.248333333333,7736.248333333333,0.0,227.93717416666667,17.0,28.0,7.755714295247394,12.92172053059452,0,0,2025-10-02,22,3,10,0
2025-10-02 23:00:00,66.75276166666664,63.71886,7409.427500000001,7409.427500000001,0.0,231.71836916666666,19.0,32.0,5.961005160725901,8.737460934783385,0,0,2025-10-02,23,3,10,0
2025-10-03 00:00:00,62.80194666666666,60.03829,7146.150833333333,7146.150833333333,0.0,233.2694325,20.0,33.0,5.500572741902661,8.820587852411636,0,0,2025-10-03,0,4,10,0
2025-10-03 01:00:00,59.05736916666667,55.28862,6881.6641666666665,6881.6641666666665,0.0,231.56340916666667,21.0,32.0,5.190576091613779,8.506009346167266,0,0,2025-10-03,1,4,10,0
2025-10-03 02:00:00,61.80006166666667,59.382504,6616.668333333334,6616.668333333334,0.0,207.23621083333333,24.0,32.0,12.569348406219492,39.39441293377292,0,0,2025-10-03,2,4,10,0
2025-10-03 03:00:00,63.40565083333333,58.546795,6408.909166666667,6408.909166666667,0.0,180.59699,24.0,24.0,5.511657541910801,8.624908427083177,0,0,2025-10-03,3,4,10,0
2025-10-03 04:00:00,65.53676333333334,62.285446,6508.838333333333,6508.838333333333,0.0,167.00142333333335,25.0,28.0,4.846921986592612,7.404291785196676,0,0,2025-10-03,4,4,10,0
2025-10-03 05:00:00,66.85255333333332,64.191574,6774.931666666667,6766.5391666666665,8.3925,168.83136249999998,25.0,17.0,6.313668235270181,9.319213164711874,0,0,2025-10-03,5,4,10,0
2025-10-03 06:00:00,22.619702500000002,22.578268,6855.159166666667,6154.530666666667,700.6285000000001,163.8719,22.0,22.0,5.149739429899481,41015.13564789257,0,0,2025-10-03,6,4,10,0
2025-10-03 07:00:00,15.566490833333333,3.9278479,6247.400833333333,3182.1643333333336,3065.2365000000004,194.97133333333332,21.0,17.0,12.583802084884447,1252757.309246646,0,0,2025-10-03,7,4,10,0
2025-10-03 08:00:00,0.7911583333333335,0.4578961,5356.5425000000005,-513.8969999999995,5870.4394999999995,194.24951,20.0,32.0,0.8311177216512711,1133421.587025914,0,0,2025-10-03,8,4,10,0
2025-10-03 09:00:00,0.0,0.05045739,4562.885,-3662.948,8225.833,186.52845749999997,19.0,28.0,0.13741983756578216,,0,0,2025-10-03,9,4,10,0
2025-10-03 10:00:00,0.0,0.017704716,4016.81,-5773.709500000001,9790.5195,116.61832333333332,18.0,20.0,0.06896526490648587,,0,0,2025-10-03,10,4,10,0
2025-10-03 11:00:00,0.0,0.074042305,3826.43,-6766.946499999999,10593.3765,112.38431416666667,17.0,20.0,0.0866546780647089,,0,0,2025-10-03,11,4,10,0
2025-10-03 12:00:00,0.0,0.10322273,3825.6141666666667,-6902.660833333332,10728.275,115.54695833333334,17.0,20.0,0.10322272420550387,,0,0,2025-10-03,12,4,10,0
2025-10-03 13:00:00,0.0,0.06986998,4104.014166666667,-5992.262833333333,10096.277,113.65527916666667,16.0,22.0,0.07972453487066862,,0,0,2025-10-03,13,4,10,0
